Date;Ifo
01/1991;110
02/1991;109,7
03/1991;108,5
04/1991;108
05/1991;106,7
06/1991;106,2
07/1991;105,2
08/1991;104,7
09/1991;104,8
10/1991;105,6
11/1991;105,2
12/1991;104,3
01/1992;102,9
02/1992;101,9
03/1992;100,8
04/1992;99,8
05/1992;99,3
06/1992;98,6
07/1992;97,3
08/1992;94,4
09/1992;93,3
10/1992;90
11/1992;88,1
12/1992;89,5
01/1993;88,7
02/1993;86,8
03/1993;88,8
04/1993;87,8
05/1993;87,1
06/1993;88,4
07/1993;88,8
08/1993;91,2
09/1993;90,3
10/1993;90,9
11/1993;91,8
12/1993;92,9
01/1994;92,9
02/1994;95,7
03/1994;97
04/1994;98,8
05/1994;99,4
06/1994;101,2
07/1994;100,5
08/1994;101,8
09/1994;104
10/1994;105,3
11/1994;105,5
12/1994;104,9
01/1995;104,5
02/1995;105
03/1995;102,4
04/1995;101,2
05/1995;100,6
06/1995;99,5
07/1995;97,8
08/1995;97,6
09/1995;98
10/1995;96,9
11/1995;96,8
12/1995;96
01/1996;95,1
02/1996;94,2
03/1996;93
04/1996;93,7
05/1996;92,7
06/1996;92,3
07/1996;94,7
08/1996;95,3
09/1996;97,1
10/1996;97,8
11/1996;97,2
12/1996;97,6
01/1997;98,1
02/1997;98,7
03/1997;98,6
04/1997;99,4
05/1997;99,9
06/1997;99,6
07/1997;101,3
08/1997;101,7
09/1997;103,7
10/1997;104,2
11/1997;104,2
12/1997;105,2
01/1998;103,5
02/1998;104,2
03/1998;104,7
04/1998;104,2
05/1998;103,9
06/1998;103,3
07/1998;103,4
08/1998;102,6
09/1998;100,3
10/1998;99,2
11/1998;99,4
12/1998;99,2
01/1999;98,1
02/1999;96,4
03/1999;97,3
04/1999;96,8
05/1999;97,1
06/1999;98
07/1999;98,7
08/1999;100,3
09/1999;102
10/1999;102,3
11/1999;104,5
12/1999;104,5
01/2000;104,2
02/2000;105,5
03/2000;105,2
04/2000;106,2
05/2000;105,5
06/2000;104,6
07/2000;104,2
08/2000;104,3
09/2000;103,9
10/2000;104,3
11/2000;103,9
12/2000;103,5
01/2001;103,2
02/2001;101,9
03/2001;100,5
04/2001;98,3
05/2001;96,6
06/2001;95,2
07/2001;95,3
08/2001;95,1
09/2001;91,6
10/2001;91,1
11/2001;92,1
12/2001;93
01/2002;92,5
02/2002;93,6
03/2002;95,8
04/2002;94,9
05/2002;95,9
06/2002;95,2
07/2002;93,8
08/2002;94,2
09/2002;94,2
10/2002;94
11/2002;91,7
12/2002;91,5
01/2003;91,8
02/2003;92,7
03/2003;92,1
04/2003;92
05/2003;92,5
06/2003;93,6
07/2003;94,8
08/2003;96,8
09/2003;97,7
10/2003;100
11/2003;101
12/2003;101,1
01/2004;102,3
02/2004;100,4
03/2004;99
04/2004;99,2
05/2004;99
06/2004;98,9
07/2004;99,4
08/2004;100,2
09/2004;100,6
10/2004;100,5
11/2004;100,6
12/2004;100,8
01/2005;100,6
02/2005;99,9
03/2005;97,7
04/2005;97
05/2005;96,4
06/2005;97,3
07/2005;98,8
08/2005;100
09/2005;101,4
10/2005;103,6
11/2005;102,9
12/2005;104,4
01/2006;105,8
02/2006;107
03/2006;108,5
04/2006;108,7
05/2006;109,7
06/2006;109,9
07/2006;109,3
08/2006;109,7
09/2006;109,5
10/2006;110,8
11/2006;112,2
12/2006;113,6
01/2007;113
02/2007;111,4
03/2007;112,2
04/2007;112,3
05/2007;112,7
06/2007;111
07/2007;111,1
08/2007;110,8
09/2007;109,9
10/2007;109,9
11/2007;109,6
12/2007;108,2
01/2008;108,9
02/2008;108
03/2008;108,4
04/2008;106,3
05/2008;106,4
06/2008;105
07/2008;100,3
08/2008;99,2
09/2008;97,2
10/2008;93,8
11/2008;88,4
12/2008;84,9
01/2009;85
02/2009;84,5
03/2009;83,6
04/2009;85,1
05/2009;86,3
06/2009;88,5
07/2009;90,6
08/2009;94,4
09/2009;95,4
10/2009;95,7
11/2009;97,5
12/2009;97,8
01/2010;98,8
02/2010;98,7
03/2010;100,7
04/2010;104,4
05/2010;105,2
06/2010;106
07/2010;110,3
08/2010;111,7
09/2010;112
10/2010;113,1
11/2010;114,3
12/2010;114,4
01/2011;112,8
02/2011;114,1
03/2011;113,7
04/2011;112,6
05/2011;113,4
06/2011;113,4
07/2011;112,7
08/2011;109,5
09/2011;108,2
10/2011;107,4
11/2011;107,6
12/2011;107,2
01/2012;107,7
02/2012;108,1
03/2012;108,3
04/2012;108,5
05/2012;106,2
06/2012;104,6
07/2012;102,7
08/2012;102,9
09/2012;102
10/2012;101,2
11/2012;101,7
12/2012;102,3
01/2013;104,2
02/2013;105,8
03/2013;105,2
04/2013;103,3
05/2013;104,7
06/2013;105,5
07/2013;105,9
08/2013;108,1
09/2013;108,6
10/2013;108,3
11/2013;109,5
12/2013;109,5
01/2014;110,9
02/2014;111
03/2014;110,7
04/2014;110,5
05/2014;109,7
06/2014;109,2
07/2014;108
08/2014;106,8
09/2014;105,6
10/2014;103,6
11/2014;104,7
12/2014;105,5
01/2015;106,8
02/2015;106,9
03/2015;107,8
04/2015;108,5
05/2015;108,4
06/2015;107,5
07/2015;108,1
08/2015;108,8
09/2015;108,7
10/2015;108,2
11/2015;109
12/2015;108,5
01/2016;107,4
02/2016;105,8
03/2016;106,7
04/2016;106,7
05/2016;107,7
06/2016;108,6
07/2016;108,3
08/2016;106,6
09/2016;109,7
10/2016;110,6
11/2016;110,5
12/2016;111
01/2017;110
02/2017;111,2
03/2017;112,2
04/2017;113,1
05/2017;114,6
06/2017;115,2
07/2017;116
